URL,Path,Page Type,HTTP Status,Title,Meta Description,H1,Word Count,Canonical,Robots,Indexable
https://www.fremcoltd.com,/,Homepage,200,"","","",0,https://www.fremcoltd.com,index, follow,true
https://www.fremcoltd.com/products,/products,Catalog,200,"","","",0,https://www.fremcoltd.com/products,index, follow,true
https://www.fremcoltd.com/about-us,/about-us,About,200,"","","",0,https://www.fremcoltd.com/about-us,index, follow,true
https://www.fremcoltd.com/contact,/contact,Conversion,200,"","","",0,https://www.fremcoltd.com/contact,index, follow,true
https://www.fremcoltd.com/request-a-quote,/request-a-quote,Conversion,200,"","","",0,https://www.fremcoltd.com/request-a-quote,index, follow,true
https://www.fremcoltd.com/faq,/faq,GEO,200,"","","",0,https://www.fremcoltd.com/faq,index, follow,true
https://www.fremcoltd.com/glossary,/glossary,GEO,200,"","","",0,https://www.fremcoltd.com/glossary,index, follow,true
https://www.fremcoltd.com/product-category/sugar,/product-category/sugar,Category,200,"Sugar | FREEM ENTERPRISE CO., LTD","","",0,https://www.fremcoltd.com/product-category/sugar,index, follow,true
https://www.fremcoltd.com/product-category/rice,/product-category/rice,Category,200,"Rice | FREEM ENTERPRISE CO., LTD","","",0,https://www.fremcoltd.com/product-category/rice,index, follow,true
https://www.fremcoltd.com/product-category/fertilizers,/product-category/fertilizers,Category,200,"Fertilizers | FREEM ENTERPRISE CO., LTD","","",0,https://www.fremcoltd.com/product-category/fertilizers,index, follow,true
https://www.fremcoltd.com/product-category/edible-cooking-oil,/product-category/edible-cooking-oil,Category,200,"Edible Cooking Oil | FREEM ENTERPRISE CO., LTD","","",0,https://www.fremcoltd.com/product-category/edible-cooking-oil,index, follow,true
https://www.fremcoltd.com/product-category/energy-drinks,/product-category/energy-drinks,Category,200,"Energy Drinks | FREEM ENTERPRISE CO., LTD","","",0,https://www.fremcoltd.com/product-category/energy-drinks,index, follow,true
https://www.fremcoltd.com/product/icumsa-100-cane-sugar,/product/icumsa-100-cane-sugar,Product,200,"ICUMSA 100 CANE SUGAR | FREEM ENTERPRISE CO., LTD","","",177,https://www.fremcoltd.com/product/icumsa-100-cane-sugar,index, follow,true
https://www.fremcoltd.com/product/icumsa-45-white-refined-sugar,/product/icumsa-45-white-refined-sugar,Product,200,"ICUMSA-45 WHITE REFINED SUGAR | FREEM ENTERPRISE CO., LTD","","",182,https://www.fremcoltd.com/product/icumsa-45-white-refined-sugar,index, follow,true
https://www.fremcoltd.com/product/raw-brown-cane-sugar-grade-e-icumsa-600-1200,/product/raw-brown-cane-sugar-grade-e-icumsa-600-1200,Product,200,"Raw Brown Cane Sugar Grade E ICUMSA 600-1200 | FREEM ENTERPRISE CO., LTD","","",173,https://www.fremcoltd.com/product/raw-brown-cane-sugar-grade-e-icumsa-600-1200,index, follow,true
https://www.fremcoltd.com/product/icumsa-150-cane-sugar,/product/icumsa-150-cane-sugar,Product,200,"ICUMSA 150 CANE SUGAR | FREEM ENTERPRISE CO., LTD","","",175,https://www.fremcoltd.com/product/icumsa-150-cane-sugar,index, follow,true
https://www.fremcoltd.com/product/vhp-sugar,/product/vhp-sugar,Product,200,"VHP SUGAR | FREEM ENTERPRISE CO., LTD","","",168,https://www.fremcoltd.com/product/vhp-sugar,index, follow,true
https://www.fremcoltd.com/product/beet-sugar,/product/beet-sugar,Product,200,"BEET SUGAR | FREEM ENTERPRISE CO., LTD","","",167,https://www.fremcoltd.com/product/beet-sugar,index, follow,true
https://www.fremcoltd.com/product/privi-000050-17-5-s-water-soluble-fertilizer,/product/privi-000050-17-5-s-water-soluble-fertilizer,Product,200,"PRIVI 100% Water Soluble Fertilizer | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/privi-000050-17-5-s-water-soluble-fertilizer,index, follow,true
https://www.fremcoltd.com/product/ebs-fulvic-acid-fulvic-acid-50-organic-fertilizer,/product/ebs-fulvic-acid-fulvic-acid-50-organic-fertilizer,Product,200,"EBS Fulvic Acid Fulvic Acid 50% Organic Fertilizer | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/ebs-fulvic-acid-fulvic-acid-50-organic-fertilizer,index, follow,true
https://www.fremcoltd.com/product/ebs-amino-acids-80-plant-growth-enhancer,/product/ebs-amino-acids-80-plant-growth-enhancer,Product,200,"EBS Amino Acids 80% Plant Growth Enhancer | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/ebs-amino-acids-80-plant-growth-enhancer,index, follow,true
https://www.fremcoltd.com/product/thai-long-grain-rice,/product/thai-long-grain-rice,Product,200,"Thai Long Grain Rice | FREEM ENTERPRISE CO., LTD","","",177,https://www.fremcoltd.com/product/thai-long-grain-rice,index, follow,true
https://www.fremcoltd.com/product/thai-parboiled-rice,/product/thai-parboiled-rice,Product,200,"Thai Parboiled Rice | FREEM ENTERPRISE CO., LTD","","",168,https://www.fremcoltd.com/product/thai-parboiled-rice,index, follow,true
https://www.fremcoltd.com/product/jasmine-rice-thai-hom-mali,/product/jasmine-rice-thai-hom-mali,Product,200,"Jasmine Rice (Thai Hom Mali) | FREEM ENTERPRISE CO., LTD","","",173,https://www.fremcoltd.com/product/jasmine-rice-thai-hom-mali,index, follow,true
https://www.fremcoltd.com/product/japonica-rice,/product/japonica-rice,Product,200,"Japonica Rice | FREEM ENTERPRISE CO., LTD","","",154,https://www.fremcoltd.com/product/japonica-rice,index, follow,true
https://www.fremcoltd.com/product/1121-sella-basmati-rice,/product/1121-sella-basmati-rice,Product,200,"1121 Sella Basmati Rice | FREEM ENTERPRISE CO., LTD","","",156,https://www.fremcoltd.com/product/1121-sella-basmati-rice,index, follow,true
https://www.fremcoltd.com/product/quality-brown-rice,/product/quality-brown-rice,Product,200,"Quality Brown Rice | FREEM ENTERPRISE CO., LTD","","",171,https://www.fremcoltd.com/product/quality-brown-rice,index, follow,true
https://www.fremcoltd.com/product/thai-glutinous-rice,/product/thai-glutinous-rice,Product,200,"Thai Glutinous Rice | FREEM ENTERPRISE CO., LTD","","",177,https://www.fremcoltd.com/product/thai-glutinous-rice,index, follow,true
https://www.fremcoltd.com/product/arborio-rice,/product/arborio-rice,Product,200,"Arborio Rice | FREEM ENTERPRISE CO., LTD","","",170,https://www.fremcoltd.com/product/arborio-rice,index, follow,true
https://www.fremcoltd.com/product/vanproz-growth-enhancer-organic-fertilizer-agribegri,/product/vanproz-growth-enhancer-organic-fertilizer-agribegri,Product,200,"Vanproz Growth Enhancer Organic Fertilizer | AgriBegri | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/vanproz-growth-enhancer-organic-fertilizer-agribegri,index, follow,true
https://www.fremcoltd.com/product/ebs-zinc-edta-zn-12-chelated-micronutrient-fertilizer,/product/ebs-zinc-edta-zn-12-chelated-micronutrient-fertilizer,Product,200,"EBS Zinc EDTA Zn 12% Chelated Micronutrient Fertilizer | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/ebs-zinc-edta-zn-12-chelated-micronutrient-fertilizer,index, follow,true
https://www.fremcoltd.com/product/ebs-boron-20-edta-sodium-borate-chelated-micronutrient,/product/ebs-boron-20-edta-sodium-borate-chelated-micronutrient,Product,200,"EBS Boron 20% EDTA Sodium Borate Chelated Micronutrient | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/ebs-boron-20-edta-sodium-borate-chelated-micronutrient,index, follow,true
https://www.fremcoltd.com/product/ebs-seaweed-extract-fertilizer-ascophyllum-nodusum,/product/ebs-seaweed-extract-fertilizer-ascophyllum-nodusum,Product,200,"EBS Seaweed Extract Fertilizer Ascophyllum Nodusum | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/ebs-seaweed-extract-fertilizer-ascophyllum-nodusum,index, follow,true
https://www.fremcoltd.com/product/agriventure-magnesium-sulfate-water-soluble-fertilizer,/product/agriventure-magnesium-sulfate-water-soluble-fertilizer,Product,200,"Agriventure Magnesium Sulfate Water Soluble Fertilizer | FREEM ENTERPRISE CO., LTD","","",1,https://www.fremcoltd.com/product/agriventure-magnesium-sulfate-water-soluble-fertilizer,index, follow,true
